Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-09-30,"28 BRACKEN COURT, DONNYBROOK, CORK",Cork,,181000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"28 BRACKEN COURT, DONNYBROOK, CORK",ok,51.861953,-8.436757
2016-12-20,"2 AN CLOCHAR, CONVENT RD, DONERAILE",Cork,,50152.49,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,12,"2 AN CLOCHAR, CONVENT RD, DONERAILE, Cork",ok,52.218364,-8.590202
2016-09-28,"Apartment 7 The Court, Clonattin, Gorey",Wexford,,62171.81,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,"Apartment 7 The Court, Clonattin, Gorey, Wexford",ok_relaxed_area,52.678077,-6.279601
2016-09-16,"6 Monalin, Wicklow Hills, Newtownmountkennedy",Wicklow,,223348.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,"6 Monalin, Wicklow Hills, Newtownmountkennedy",ok,53.088615,-6.113395
2016-01-29,"18 Lislea, Frascati Park, Blackrock",Dublin,,310000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"18 Lislea, Frascati Park, Blackrock, Dublin",ok_relaxed_area,53.301861,-6.183336
2016-10-03,"CREGAREE, KILWOGAN, CELBRIDGE",Kildare,,515000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"CREGAREE, KILWOGAN, CELBRIDGE, Kildare",ok_relaxed_area,53.352585,-6.558192
2016-05-13,"60 LILYS WAY, ONGAR, DUBLIN 15",Dublin,,220000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"60 LILYS WAY, ONGAR, DUBLIN 15",ok,53.39796,-6.441167
2016-01-21,"15 APPLEWOOD PLACE, APPLEWOOD, SWORDS",Dublin,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"15 APPLEWOOD PLACE, APPLEWOOD, SWORDS, Dublin",ok,53.470088,-6.231747
2016-03-03,"KILMAGIG UPPER, AVOCA, WICKLOW",Wicklow,,390000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"KILMAGIG UPPER, AVOCA, WICKLOW",ok_relaxed_area,52.84981,-6.19219
2016-09-12,"43 FOYLE RD, FAIRVIEW, DUBLIN 3",Dublin,,435000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"43 FOYLE RD, FAIRVIEW, DUBLIN 3",ok,53.367416,-6.240315
2016-02-18,"25 OAKHILL, SWEETFIELD, YOUGHAL",Cork,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"25 OAKHILL, SWEETFIELD, YOUGHAL, Cork",ok,51.954998,-7.869029
