Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,geocode_status,latitude,longitude,geocode_provider,dublin_district
30/09/2016,"28 BRACKEN COURT, DONNYBROOK, CORK",Cork,,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/12/2016,"2 AN CLOCHAR, CONVENT RD, DONERAILE",Cork,,"€50,152.49",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,,,,,
28/09/2016,"Apartment 7 The Court, Clonattin, Gorey",Wexford,,"€62,171.81",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
16/09/2016,"6 Monalin, Wicklow Hills, Newtownmountkennedy",Wicklow,,"€223,348.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
29/01/2016,"18 Lislea, Frascati Park, Blackrock",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.299848,-6.182849,mapbox,-1
03/10/2016,"CREGAREE, KILWOGAN, CELBRIDGE",Kildare,,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
13/05/2016,"60 LILYS WAY, ONGAR, DUBLIN 15",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.39796,-6.441167,mapbox,15
21/01/2016,"15 APPLEWOOD PLACE, APPLEWOOD, SWORDS",Dublin,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.4702739,-6.2312682,nominatim,-1
03/03/2016,"KILMAGIG UPPER, AVOCA, WICKLOW",Wicklow,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/09/2016,"43 FOYLE RD, FAIRVIEW, DUBLIN 3",Dublin,,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3674053,-6.2402865,nominatim,3
18/02/2016,"25 OAKHILL, SWEETFIELD, YOUGHAL",Cork,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
14/09/2016,"361 MALAHIDE MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.4543436,-6.1557158,nominatim,-1
08/04/2016,"18 THE WILLOWS, OAKLEIGH WOOD, TULLA RD",Clare,,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
25/10/2016,"THE PRESBYTERY, OLDTOWN, DUBLIN",Dublin,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.47156,-6.234685,mapbox,-1
12/02/2016,"29 STOCKING WELL ROW, STOCKING AVE, RATHFARNHAM DUBLIN 16",Dublin,,"€220,500.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.271943,-6.320121,mapbox,16
24/03/2016,"5 JAMES GATE, JAMES ST, WATERFORD",Waterford,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
30/11/2016,"28 CARNEGIE COURT, NORTH ST, SWORDS",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.462255,-6.217909,mapbox,-1
15/04/2016,"84 NEWCOURT RD, BRAY, WICKLOW",Wicklow,,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
27/10/2016,"92 GRATTAN LODGE, DONAGHMEDE, DUBLIN 13",Dublin,,"€357,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.401101,-6.166003,mapbox,13
23/09/2016,"CLONMORE COURT, APT 3 OLD BALLYMUN RD, GLASNEVIN DUBLIN 9",Dublin,,"€250,500.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.376365,-6.291118,mapbox,11
05/02/2016,"THE RED DOOR COTTAGE, LISTMINTON, BALINTRA",Donegal,,"€92,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
22/07/2016,"SUNSET VIEW, CLASHACOLLAIRE, KILKENNY ROAD",Kilkenny,,"€130,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
27/05/2016,"5 Fforster Terrace, Lucan",Dublin,,"€259,912.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_mapbox_strict,53.350273,-6.425679,mapbox,-1
22/06/2016,"5 Sundays Well, Bracken Park, Carpenterstown",Dublin,,"€259,911.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_mapbox_relaxed,53.373306,-6.377576,mapbox,15
04/02/2016,"APT 2, 2 BAILEYS NEW ST, WATERFORD",Waterford,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
